bilheteunico;calldate;hora;tipo;origem;destino;duracao;duracaototal
1675166017.514;"2023-01-31";"08:53:37";Recebida;2414 - 2414;URA - FR_ONLINE;23;23;
1675166027.516;"2023-01-31";"08:53:48";Recebida;2809 - 2809;URA - FR_ONLINE;27;27;
1675166041.517;"2023-01-31";"08:54:01";Recebida;2118 - 2118;URA - FR_ONLINE;23;23;
1675166047.519;"2023-01-31";"08:54:07";Recebida;2016 - 2016;URA - FR_ONLINE;30;30;
1675166055.521;"2023-01-31";"08:54:15";Recebida;3703 - 3703;URA - FR_ONLINE;29;29;
1675166075.524;"2023-01-31";"08:54:35";Recebida;0218 - 0218;URA - FR_ONLINE;30;30;
1675166083.525;"2023-01-31";"08:54:43";Recebida;2307 - 2307;URA - FR_ONLINE;48;48;
1675166095.528;"2023-01-31";"08:54:55";Recebida;0209 - 0209;URA - FR_ONLINE;2;2;
1675166099.529;"2023-01-31";"08:54:59";Recebida;2809 - 2809;URA - FR_ONLINE;31;31;
1675166111.530;"2023-01-31";"08:55:11";Recebida;3513 - 3513;URA - FR_ONLINE;48;48;
1675166132.532;"2023-01-31";"08:55:32";Recebida;4002 - 4002;URA - FR_ONLINE;18;18;
1675166148.535;"2023-01-31";"08:55:49";Recebida;0208 - 0208;URA - FR_ONLINE;39;39;
1675166172.537;"2023-01-31";"08:56:12";Recebida;3506 - 3506;URA - FR_ONLINE;19;19;
1675166173.538;"2023-01-31";"08:56:13";Recebida;3518 - 3518;URA - FR_ONLINE;38;38;
1675166201.541;"2023-01-31";"08:56:41";Recebida;0209 - 0209;URA - FR_ONLINE;39;39;
1675166221.543;"2023-01-31";"08:57:01";Recebida;0216 - 0216;URA - FR_ONLINE;36;36;
1675166226.544;"2023-01-31";"08:57:07";Recebida;2317 - 2317;URA - FR_ONLINE;36;36;
1675166232.546;"2023-01-31";"08:57:12";Recebida;0207 - 0207;URA - FR_ONLINE;43;43;
1675166248.548;"2023-01-31";"08:57:28";Recebida;3805 - 3805;URA - FR_ONLINE;42;42;
1675166305.551;"2023-01-31";"08:58:25";Recebida;4404 - 4404;URA - FR_ONLINE;22;22;
1675166323.553;"2023-01-31";"08:58:43";Recebida;2414 - 2414;URA - FR_ONLINE;21;21;
1675166364.555;"2023-01-31";"08:59:24";Recebida;1806 - 1806;URA - FR_ONLINE;20;20;
1675166399.557;"2023-01-31";"08:59:59";Recebida;0208 - 0208;URA - FR_ONLINE;30;30;
1675166412.559;"2023-01-31";"09:00:13";Recebida;4008 - 4008;URA - FR_ONLINE;28;28;
1675166422.561;"2023-01-31";"09:00:22";Recebida;4019 - 4019;URA - FR_ONLINE;36;36;
1675166428.562;"2023-01-31";"09:00:28";Recebida;1014 - 1014;URA - FR_ONLINE;40;40;
1675166438.563;"2023-01-31";"09:00:38";Recebida;3420 - 3420;URA - FR_ONLINE;69;69;
1675166446.565;"2023-01-31";"09:00:46";Recebida;3513 - 3513;URA - FR_ONLINE;47;47;
1675166455.567;"2023-01-31";"09:00:55";Recebida;2311 - 2311;URA - FR_ONLINE;66;66;
1675166461.568;"2023-01-31";"09:01:01";Recebida;2708 - 2708;URA - FR_ONLINE;101;101;
1675166481.571;"2023-01-31";"09:01:21";Recebida;2109 - 2109;URA - FR_ONLINE;80;80;
1675166516.573;"2023-01-31";"09:01:56";Recebida;4112 - 4112;URA - FR_ONLINE;69;69;
1675166552.576;"2023-01-31";"09:02:33";Recebida;4004 - 4004;URA - FR_ONLINE;46;46;
1675166559.577;"2023-01-31";"09:02:39";Recebida;0209 - 0209;URA - FR_ONLINE;45;45;
1675166598.581;"2023-01-31";"09:03:18";Recebida;2310 - 2310;URA - FR_ONLINE;51;51;
1675166603.582;"2023-01-31";"09:03:23";Recebida;2005 - 2005;URA - FR_ONLINE;36;36;
1675166615.584;"2023-01-31";"09:03:35";Recebida;4021 - 4021;URA - FR_ONLINE;24;24;
1675166620.586;"2023-01-31";"09:03:41";Recebida;3811 - 3811;URA - FR_ONLINE;45;45;
1675166627.588;"2023-01-31";"09:03:47";Recebida;1419 - 1419;URA - FR_ONLINE;44;44;
1675166638.589;"2023-01-31";"09:03:58";Recebida;1415 - 1415;URA - FR_ONLINE;35;35;
1675166656.592;"2023-01-31";"09:04:16";Recebida;2602 - 2602;URA - FR_ONLINE;37;37;
1675166677.595;"2023-01-31";"09:04:37";Recebida;3515 - 3515;URA - FR_ONLINE;20;20;
1675166681.596;"2023-01-31";"09:04:41";Recebida;2708 - 2708;URA - FR_ONLINE;20;20;
1675166698.599;"2023-01-31";"09:04:58";Recebida;4104 - 4104;URA - FR_ONLINE;23;23;
1675166704.600;"2023-01-31";"09:05:04";Recebida;0211 - 0211;URA - FR_ONLINE;46;46;
1675166751.603;"2023-01-31";"09:05:51";Recebida;1012 - 1012;URA - FR_ONLINE;31;31;
1675166765.605;"2023-01-31";"09:06:05";Recebida;4207 - 4207;URA - FR_ONLINE;24;24;
1675166766.606;"2023-01-31";"09:06:06";Recebida;2307 - 2307;URA - FR_ONLINE;118;118;
1675166770.607;"2023-01-31";"09:06:10";Recebida;1911 - 1911;URA - FR_ONLINE;38;38;
1675166774.610;"2023-01-31";"09:06:14";Recebida;2204 - 2204;URA - FR_ONLINE;22;22;
1675166782.613;"2023-01-31";"09:06:22";Recebida;2213 - 2213;URA - FR_ONLINE;30;30;
1675166784.614;"2023-01-31";"09:06:25";Recebida;4201 - 4201;URA - FR_ONLINE;33;33;
1675166805.618;"2023-01-31";"09:06:45";Recebida;3410 - 3410;URA - FR_ONLINE;15;15;
1675166816.620;"2023-01-31";"09:06:56";Recebida;4111 - 4111;URA - FR_ONLINE;22;22;
1675166816.621;"2023-01-31";"09:06:57";Recebida;3802 - 3802;URA - FR_ONLINE;29;29;
1675166831.624;"2023-01-31";"09:07:11";Recebida;0208 - 0208;URA - FR_ONLINE;2;2;
1675166833.625;"2023-01-31";"09:07:13";Recebida;4404 - 4404;URA - FR_ONLINE;24;24;
1675166836.626;"2023-01-31";"09:07:17";Recebida;2016 - 2016;URA - FR_ONLINE;18;18;
1675166837.627;"2023-01-31";"09:07:18";Recebida;4115 - 4115;URA - FR_ONLINE;23;23;
1675166842.629;"2023-01-31";"09:07:22";Recebida;0208 - 0208;URA - FR_ONLINE;23;23;
1675166849.633;"2023-01-31";"09:07:29";Recebida;4201 - 4201;URA - FR_ONLINE;19;19;
1675166854.635;"2023-01-31";"09:07:35";Recebida;4416 - 4416;URA - FR_ONLINE;25;25;
1675166926.638;"2023-01-31";"09:08:46";Recebida;3401 - 3401;URA - FR_ONLINE;87;87;
1675166958.640;"2023-01-31";"09:09:19";Recebida;2116 - 2116;URA - FR_ONLINE;26;26;
1675166979.642;"2023-01-31";"09:09:39";Recebida;2302 - 2302;URA - FR_ONLINE;49;49;
1675166985.643;"2023-01-31";"09:09:45";Recebida;4211 - 4211;URA - FR_ONLINE;25;25;
1675167014.646;"2023-01-31";"09:10:14";Recebida;4201 - 4201;URA - FR_ONLINE;95;95;
1675167016.647;"2023-01-31";"09:10:16";Recebida;2707 - 2707;URA - FR_ONLINE;27;27;
1675167019.648;"2023-01-31";"09:10:19";Recebida;2708 - 2708;URA - FR_ONLINE;31;31;
1675167032.652;"2023-01-31";"09:10:32";Recebida;0209 - 0209;URA - FR_ONLINE;36;36;
1675167047.654;"2023-01-31";"09:10:47";Recebida;4406 - 4406;URA - FR_ONLINE;5;5;
1675167050.655;"2023-01-31";"09:10:51";Recebida;4112 - 4112;URA - FR_ONLINE;23;23;
1675167059.657;"2023-01-31";"09:10:59";Recebida;4406 - 4406;URA - FR_ONLINE;22;22;
1675167085.659;"2023-01-31";"09:11:25";Recebida;3802 - 3802;URA - FR_ONLINE;41;41;
1675167131.661;"2023-01-31";"09:12:11";Recebida;4118 - 4118;URA - FR_ONLINE;34;34;
1675167138.663;"2023-01-31";"09:12:18";Recebida;4201 - 4201;URA - FR_ONLINE;31;31;
1675167159.665;"2023-01-31";"09:12:39";Recebida;4410 - 4410;URA - FR_ONLINE;73;73;
1675167159.666;"2023-01-31";"09:12:39";Recebida;4212 - 4212;URA - FR_ONLINE;21;21;
1675167168.669;"2023-01-31";"09:12:49";Recebida;4002 - 4002;URA - FR_ONLINE;48;48;
1675167173.670;"2023-01-31";"09:12:53";Recebida;2111 - 2111;URA - FR_ONLINE;35;35;
1675167175.672;"2023-01-31";"09:12:55";Recebida;4112 - 4112;URA - FR_ONLINE;33;33;
1675167190.676;"2023-01-31";"09:13:10";Recebida;2019 - 2019;URA - FR_ONLINE;23;23;
1675167213.678;"2023-01-31";"09:13:33";Recebida;2203 - 2203;URA - FR_ONLINE;31;31;
1675167216.679;"2023-01-31";"09:13:37";Recebida;4408 - 4408;URA - FR_ONLINE;22;22;
1675167221.681;"2023-01-31";"09:13:41";Recebida;4404 - 4404;URA - FR_ONLINE;26;26;
1675167277.684;"2023-01-31";"09:14:37";Recebida;2613 - 2613;URA - FR_ONLINE;31;31;
1675167281.685;"2023-01-31";"09:14:41";Recebida;4413 - 4413;URA - FR_ONLINE;32;32;
1675167295.688;"2023-01-31";"09:14:55";Recebida;3515 - 3515;URA - FR_ONLINE;31;31;
1675167308.690;"2023-01-31";"09:15:08";Recebida;3519 - 3519;URA - FR_ONLINE;20;20;
1675167346.692;"2023-01-31";"09:15:46";Recebida;2311 - 2311;URA - FR_ONLINE;23;23;
1675167369.695;"2023-01-31";"09:16:10";Recebida;1014 - 1014;URA - FR_ONLINE;33;33;
1675167382.697;"2023-01-31";"09:16:22";Recebida;3703 - 3703;URA - FR_ONLINE;23;23;
1675167396.699;"2023-01-31";"09:16:36";Recebida;2109 - 2109;URA - FR_ONLINE;20;20;
1675167471.701;"2023-01-31";"09:17:51";Recebida;4105 - 4105;URA - FR_ONLINE;20;20;
1675167504.703;"2023-01-31";"09:18:24";Recebida;3515 - 3515;URA - FR_ONLINE;26;26;
1675167514.705;"2023-01-31";"09:18:34";Recebida;4022 - 4022;URA - FR_ONLINE;27;27;
1675167576.707;"2023-01-31";"09:19:36";Recebida;3410 - 3410;URA - FR_ONLINE;21;21;
1675167576.708;"2023-01-31";"09:19:36";Recebida;4211 - 4211;URA - FR_ONLINE;20;20;
1675167603.711;"2023-01-31";"09:20:03";Recebida;3410 - 3410;URA - FR_ONLINE;23;23;
1675167635.713;"2023-01-31";"09:20:35";Recebida;2006 - 2006;URA - FR_ONLINE;36;36;
1675167650.715;"2023-01-31";"09:20:50";Recebida;1812 - 1812;URA - FR_ONLINE;25;25;
1675167696.718;"2023-01-31";"09:21:37";Recebida;0019 - 0019;URA - FR_ONLINE;36;36;
1675167727.720;"2023-01-31";"09:22:07";Recebida;3414 - 3414;URA - FR_ONLINE;36;36;
1675167743.722;"2023-01-31";"09:22:23";Recebida;1411 - 1411;URA - FR_ONLINE;27;27;
1675167763.724;"2023-01-31";"09:22:43";Recebida;1410 - 1410;URA - FR_ONLINE;24;24;
1675167897.726;"2023-01-31";"09:24:58";Recebida;2803 - 2803;URA - FR_ONLINE;20;20;
1675167911.728;"2023-01-31";"09:25:11";Recebida;4211 - 4211;URA - FR_ONLINE;26;26;
1675167928.730;"2023-01-31";"09:25:29";Recebida;2607 - 2607;URA - FR_ONLINE;49;49;
1675167931.731;"2023-01-31";"09:25:31";Recebida;1004 - 1004;URA - FR_ONLINE;22;22;
1675167942.734;"2023-01-31";"09:25:42";Recebida;1902 - 1902;URA - FR_ONLINE;49;49;
1675167953.736;"2023-01-31";"09:25:53";Recebida;1012 - 1012;URA - FR_ONLINE;32;32;
1675167999.738;"2023-01-31";"09:26:40";Recebida;2109 - 2109;URA - FR_ONLINE;21;21;
1675168016.740;"2023-01-31";"09:26:56";Recebida;3707 - 3707;URA - FR_ONLINE;17;17;
1675168085.742;"2023-01-31";"09:28:05";Recebida;3805 - 3805;URA - FR_ONLINE;61;61;
1675168098.744;"2023-01-31";"09:28:18";Recebida;2307 - 2307;URA - FR_ONLINE;24;24;
1675168132.746;"2023-01-31";"09:28:52";Recebida;0209 - 0209;URA - FR_ONLINE;35;35;
1675168197.748;"2023-01-31";"09:29:57";Recebida;0218 - 0218;URA - FR_ONLINE;71;71;
1675168214.750;"2023-01-31";"09:30:14";Recebida;3102 - 3102;URA - FR_ONLINE;79;79;
1675168234.753;"2023-01-31";"09:30:34";Recebida;3709 - 3709;URA - FR_ONLINE;34;34;
1675168243.755;"2023-01-31";"09:30:43";Recebida;2213 - 2213;URA - FR_ONLINE;26;26;
1675168334.757;"2023-01-31";"09:32:14";Recebida;4118 - 4118;URA - FR_ONLINE;16;16;
1675168334.758;"2023-01-31";"09:32:14";Recebida;3102 - 3102;URA - FR_ONLINE;28;28;
1675168361.761;"2023-01-31";"09:32:41";Recebida;2213 - 2213;URA - FR_ONLINE;33;33;
1675168364.762;"2023-01-31";"09:32:44";Recebida;3420 - 3420;URA - FR_ONLINE;25;25;
1675168372.766;"2023-01-31";"09:32:52";Recebida;2303 - 2303;URA - FR_ONLINE;21;21;
1675168379.768;"2023-01-31";"09:32:59";Recebida;0208 - 0208;URA - FR_ONLINE;29;29;
1675168397.770;"2023-01-31";"09:33:17";Recebida;0422 - 0422;URA - FR_ONLINE;22;22;
1675168410.772;"2023-01-31";"09:33:31";Recebida;0207 - 0207;URA - FR_ONLINE;18;18;
1675168413.773;"2023-01-31";"09:33:33";Recebida;4019 - 4019;URA - FR_ONLINE;25;25;
1675168434.776;"2023-01-31";"09:33:54";Recebida;0019 - 0019;URA - FR_ONLINE;22;22;
1675168461.778;"2023-01-31";"09:34:21";Recebida;1414 - 1414;URA - FR_ONLINE;18;18;
1675168472.780;"2023-01-31";"09:34:32";Recebida;4121 - 4121;URA - FR_ONLINE;20;20;
1675168497.782;"2023-01-31";"09:34:57";Recebida;0412 - 0412;URA - FR_ONLINE;24;24;
1675168503.783;"2023-01-31";"09:35:04";Recebida;2303 - 2303;URA - FR_ONLINE;41;41;
1675168515.786;"2023-01-31";"09:35:16";Recebida;1111 - 1111;URA - FR_ONLINE;17;17;
1675168518.787;"2023-01-31";"09:35:18";Recebida;4221 - 4221;URA - FR_ONLINE;20;20;
1675168538.790;"2023-01-31";"09:35:38";Recebida;2116 - 2116;URA - FR_ONLINE;108;108;
1675168542.791;"2023-01-31";"09:35:42";Recebida;3812 - 3812;URA - FR_ONLINE;29;29;
1675168573.795;"2023-01-31";"09:36:14";Recebida;0419 - 0419;URA - FR_ONLINE;31;31;
1675168613.797;"2023-01-31";"09:36:53";Recebida;4207 - 4207;URA - FR_ONLINE;62;62;
1675168661.799;"2023-01-31";"09:37:41";Recebida;2109 - 2109;URA - FR_ONLINE;27;27;
1675168670.801;"2023-01-31";"09:37:51";Recebida;4410 - 4410;URA - FR_ONLINE;18;18;
1675168694.803;"2023-01-31";"09:38:14";Recebida;4118 - 4118;URA - FR_ONLINE;48;48;
1675168698.804;"2023-01-31";"09:38:18";Recebida;0403 - 0403;URA - FR_ONLINE;21;21;
1675168707.807;"2023-01-31";"09:38:27";Recebida;4209 - 4209;URA - FR_ONLINE;19;19;
1675168710.808;"2023-01-31";"09:38:31";Recebida;3401 - 3401;URA - FR_ONLINE;26;26;
1675168767.811;"2023-01-31";"09:39:27";Recebida;3804 - 3804;URA - FR_ONLINE;22;22;
1675168783.813;"2023-01-31";"09:39:43";Recebida;4212 - 4212;URA - FR_ONLINE;22;22;
1675168788.814;"2023-01-31";"09:39:48";Recebida;4215 - 4215;URA - FR_ONLINE;25;25;
1675168803.817;"2023-01-31";"09:40:03";Recebida;4201 - 4201;URA - FR_ONLINE;21;21;
1675168821.819;"2023-01-31";"09:40:21";Recebida;4118 - 4118;URA - FR_ONLINE;27;27;
1675168823.820;"2023-01-31";"09:40:23";Recebida;3809 - 3809;URA - FR_ONLINE;23;23;
1675168874.823;"2023-01-31";"09:41:14";Recebida;1103 - 1103;URA - FR_ONLINE;39;39;
1675168887.825;"2023-01-31";"09:41:28";Recebida;3821 - 3821;URA - FR_ONLINE;181;181;
1675168948.828;"2023-01-31";"09:42:28";Recebida;1911 - 1911;URA - FR_ONLINE;64;64;
1675168949.829;"2023-01-31";"09:42:29";Recebida;3709 - 3709;URA - FR_ONLINE;30;30;
1675168955.832;"2023-01-31";"09:42:36";Recebida;2008 - 2008;URA - FR_ONLINE;23;23;
1675168958.833;"2023-01-31";"09:42:38";Recebida;3401 - 3401;URA - FR_ONLINE;16;16;
1675168975.836;"2023-01-31";"09:42:56";Recebida;2016 - 2016;URA - FR_ONLINE;21;21;
1675168980.837;"2023-01-31";"09:43:00";Recebida;4404 - 4404;URA - FR_ONLINE;24;24;
1675169028.840;"2023-01-31";"09:43:48";Recebida;4121 - 4121;URA - FR_ONLINE;51;51;
1675169032.841;"2023-01-31";"09:43:52";Recebida;2215 - 2215;URA - FR_ONLINE;28;28;
1675169053.844;"2023-01-31";"09:44:13";Recebida;0403 - 0403;URA - FR_ONLINE;38;38;
1675169063.846;"2023-01-31";"09:44:23";Recebida;0018 - 0018;URA - FR_ONLINE;31;31;
1675169144.848;"2023-01-31";"09:45:44";Recebida;4416 - 4416;URA - FR_ONLINE;22;22;
1675169158.850;"2023-01-31";"09:45:58";Recebida;2317 - 2317;URA - FR_ONLINE;41;41;
1675169165.852;"2023-01-31";"09:46:05";Recebida;4410 - 4410;URA - FR_ONLINE;20;20;
1675169167.853;"2023-01-31";"09:46:07";Recebida;1105 - 1105;URA - FR_ONLINE;41;41;
1675169173.855;"2023-01-31";"09:46:14";Recebida;2307 - 2307;URA - FR_ONLINE;17;17;
1675169182.859;"2023-01-31";"09:46:22";Recebida;2303 - 2303;URA - FR_ONLINE;22;22;
1675169194.861;"2023-01-31";"09:46:34";Recebida;3516 - 3516;URA - FR_ONLINE;22;22;
1675169199.862;"2023-01-31";"09:46:39";Recebida;3804 - 3804;URA - FR_ONLINE;26;26;
1675169199.863;"2023-01-31";"09:46:39";Recebida;1410 - 1410;URA - FR_ONLINE;27;27;
1675169220.867;"2023-01-31";"09:47:00";Recebida;0408 - 0408;URA - FR_ONLINE;24;24;
1675169256.869;"2023-01-31";"09:47:36";Recebida;2117 - 2117;URA - FR_ONLINE;31;31;
1675169281.872;"2023-01-31";"09:48:01";Recebida;4404 - 4404;URA - FR_ONLINE;17;17;
1675169302.874;"2023-01-31";"09:48:22";Recebida;0011 - 0011;URA - FR_ONLINE;23;23;
1675169311.876;"2023-01-31";"09:48:31";Recebida;2117 - 2117;URA - FR_ONLINE;21;21;
1675169326.878;"2023-01-31";"09:48:47";Recebida;2307 - 2307;URA - FR_ONLINE;34;34;
1675169347.880;"2023-01-31";"09:49:07";Recebida;2117 - 2117;URA - FR_ONLINE;20;20;
1675169347.881;"2023-01-31";"09:49:07";Recebida;2401 - 2401;URA - FR_ONLINE;26;26;
1675169349.882;"2023-01-31";"09:49:09";Recebida;4105 - 4105;URA - FR_ONLINE;32;32;
1675169353.884;"2023-01-31";"09:49:14";Recebida;0207 - 0207;URA - FR_ONLINE;32;32;
1675169390.888;"2023-01-31";"09:49:50";Interna;9955 - 9955;2117 - 2117;33;33;
1675169391.890;"2023-01-31";"09:49:51";Recebida;1809 - 1809;URA - FR_ONLINE;21;21;
1675169415.892;"2023-01-31";"09:50:15";Recebida;3513 - 3513;URA - FR_ONLINE;21;21;
1675169421.893;"2023-01-31";"09:50:21";Recebida;4404 - 4404;URA - FR_ONLINE;26;26;
1675169464.896;"2023-01-31";"09:51:05";Recebida;3809 - 3809;URA - FR_ONLINE;24;24;
1675169468.897;"2023-01-31";"09:51:08";Recebida;3420 - 3420;URA - FR_ONLINE;23;23;
1675169474.899;"2023-01-31";"09:51:14";Recebida;2118 - 2118;URA - FR_ONLINE;21;21;
1675169481.902;"2023-01-31";"09:51:22";Recebida;2208 - 2208;URA - FR_ONLINE;17;17;
1675169507.904;"2023-01-31";"09:51:47";Recebida;0218 - 0218;URA - FR_ONLINE;56;56;
1675169515.906;"2023-01-31";"09:51:55";Recebida;2208 - 2208;URA - FR_ONLINE;23;23;
1675169527.908;"2023-01-31";"09:52:07";Recebida;4405 - 4405;URA - FR_ONLINE;41;41;
1675169538.910;"2023-01-31";"09:52:19";Recebida;3510 - 3510;URA - FR_ONLINE;32;32;
1675169565.913;"2023-01-31";"09:52:45";Recebida;3819 - 3819;URA - FR_ONLINE;34;34;
1675169566.914;"2023-01-31";"09:52:46";Recebida;3811 - 3811;URA - FR_ONLINE;38;38;
1675169573.917;"2023-01-31";"09:52:53";Recebida;2006 - 2006;URA - FR_ONLINE;24;24;
1675169578.918;"2023-01-31";"09:52:59";Recebida;0218 - 0218;URA - FR_ONLINE;23;23;
1675169604.921;"2023-01-31";"09:53:24";Recebida;1004 - 1004;URA - FR_ONLINE;51;51;
1675169689.923;"2023-01-31";"09:54:49";Recebida;3414 - 3414;URA - FR_ONLINE;21;21;
1675169697.925;"2023-01-31";"09:54:58";Recebida;3805 - 3805;URA - FR_ONLINE;25;25;
1675169703.926;"2023-01-31";"09:55:03";Recebida;1801 - 1801;URA - FR_ONLINE;27;27;
1675169715.929;"2023-01-31";"09:55:15";Recebida;3404 - 3404;URA - FR_ONLINE;25;25;
1675169729.931;"2023-01-31";"09:55:29";Recebida;3802 - 3802;URA - FR_ONLINE;26;26;
1675169733.932;"2023-01-31";"09:55:34";Recebida;4101 - 4101;URA - FR_ONLINE;31;31;
1675169785.935;"2023-01-31";"09:56:25";Recebida;4211 - 4211;URA - FR_ONLINE;42;42;
1675169797.937;"2023-01-31";"09:56:37";Recebida;4118 - 4118;URA - FR_ONLINE;23;23;
1675169809.939;"2023-01-31";"09:56:50";Recebida;1014 - 1014;URA - FR_ONLINE;44;44;
1675169838.941;"2023-01-31";"09:57:18";Recebida;2111 - 2111;URA - FR_ONLINE;50;50;
1675169845.943;"2023-01-31";"09:57:25";Recebida;1806 - 1806;URA - FR_ONLINE;21;21;
1675169845.944;"2023-01-31";"09:57:25";Recebida;1804 - 1804;URA - FR_ONLINE;25;25;
1675169847.945;"2023-01-31";"09:57:27";Recebida;2203 - 2203;URA - FR_ONLINE;23;23;
1675169851.946;"2023-01-31";"09:57:31";Recebida;3809 - 3809;URA - FR_ONLINE;21;21;
1675169858.951;"2023-01-31";"09:57:38";Recebida;3407 - 3407;URA - FR_ONLINE;122;122;
1675169886.953;"2023-01-31";"09:58:06";Recebida;3513 - 3513;URA - FR_ONLINE;29;29;
1675169904.955;"2023-01-31";"09:58:24";Recebida;2013 - 2013;URA - FR_ONLINE;23;23;
1675169909.956;"2023-01-31";"09:58:29";Recebida;4118 - 4118;URA - FR_ONLINE;41;41;
1675169909.957;"2023-01-31";"09:58:29";Recebida;0217 - 0217;URA - FR_ONLINE;22;22;
1675169912.959;"2023-01-31";"09:58:32";Recebida;2015 - 2015;URA - FR_ONLINE;26;26;
1675169937.963;"2023-01-31";"09:58:57";Recebida;0212 - 0212;URA - FR_ONLINE;29;29;
1675169938.964;"2023-01-31";"09:58:59";Recebida;0208 - 0208;URA - FR_ONLINE;22;22;
1675169952.967;"2023-01-31";"09:59:12";Recebida;2401 - 2401;URA - FR_ONLINE;35;35;
1675169988.969;"2023-01-31";"09:59:48";Recebida;2405 - 2405;URA - FR_ONLINE;27;27;
1675170042.971;"2023-01-31";"10:00:42";Recebida;4410 - 4410;URA - FR_ONLINE;25;25;
1675170046.972;"2023-01-31";"10:00:46";Recebida;4002 - 4002;URA - FR_ONLINE;33;33;
1675170078.975;"2023-01-31";"10:01:18";Recebida;4410 - 4410;URA - FR_ONLINE;24;24;
1675170106.977;"2023-01-31";"10:01:46";Recebida;1419 - 1419;URA - FR_ONLINE;30;30;
1675170131.979;"2023-01-31";"10:02:12";Recebida;2016 - 2016;URA - FR_ONLINE;44;44;
1675170135.980;"2023-01-31";"10:02:15";Recebida;2410 - 2410;URA - FR_ONLINE;41;41;
1675170135.981;"2023-01-31";"10:02:15";Recebida;3516 - 3516;URA - FR_ONLINE;35;35;
1675170180.985;"2023-01-31";"10:03:00";Recebida;3714 - 3714;URA - FR_ONLINE;27;27;
1675170201.988;"2023-01-31";"10:03:21";Recebida;3404 - 3404;URA - FR_ONLINE;45;45;
1675170234.990;"2023-01-31";"10:03:55";Recebida;1810 - 1810;URA - FR_ONLINE;36;36;
1675170236.991;"2023-01-31";"10:03:56";Recebida;1802 - 1802;URA - FR_ONLINE;47;47;
1675170271.994;"2023-01-31";"10:04:31";Recebida;3503 - 3503;URA - FR_ONLINE;23;23;
1675170291.996;"2023-01-31";"10:04:51";Recebida;3708 - 3708;URA - FR_ONLINE;7;7;
